"","name","cost","rating","assured"
"1","realme C31 (Light Silver, 32 GB)","₹9,299","4.5",""
"2","realme C31 (Dark Green, 64 GB)","₹9,999","4.4",""
"3","realme C31 (Light Silver, 64 GB)","₹9,999","4.4",""
"4","POCO C31 (Royal Blue, 64 GB)","₹8,499","4.4",""
"5","realme C11 2021 (Cool Grey, 32 GB)","₹7,499","4.4",""
"6","realme C11 2021 (Cool Blue, 32 GB)","₹7,499","4.4",""
"7","POCO C31 (Shadow Gray, 64 GB)","₹8,499","4.4",""
"8","REDMI 9i Sport (Coral Green, 64 GB)","₹8,799","4.4",""
"9","realme C11 2021 (Cool Blue, 64 GB)","₹8,999","4.3",""
"10","realme C11 2021 (Cool Grey, 64 GB)","₹8,999","4.3",""
"11","POCO C31 (Royal Blue, 32 GB)","₹7,499","4.4",""
"12","MOTOROLA G60 (Moonless, 128 GB)","₹14,999","4.2",""
"13","REDMI 9i Sport (Metallic Blue, 64 GB)","₹8,799","4.4",""
"14","realme C35 (Glowing Black, 64 GB)","₹11,999","4.4",""
"15","MOTOROLA G60 (Dynamic Gray, 128 GB)","₹14,999","4.2",""
"16","REDMI Note 10S (Deep Sea Blue, 64 GB)","₹12,999","4.4",""
"17","REDMI Note 10T 5G (Mint Green, 64 GB)","₹11,999","4.5",""
"18","REDMI Note 10T 5G (Metallic Blue, 64 GB)","₹11,999","4.5",""
"19","realme C35 (Glowing Green, 64 GB)","₹11,999","4.4",""
"20","vivo T1 44W (Midnight Galaxy, 128 GB)","₹14,499","4.5",""
"21","vivo T1 44W (Starry Sky, 128 GB)","₹14,499","4.5",""
"22","vivo T1 44W (Starry Sky, 128 GB)","₹17,999","4.4",""
"23","OPPO K10 (Black Carbon, 128 GB)","₹14,990","4.4",""
"24","OPPO K10 (Blue Flame, 128 GB)","₹14,990","4.4",""
